outage_data_id,total_clients,clients_without_power_service,region_id,source_id,source_last_updated_on,data_fetched_on,region_name
244,212508,0,6,1,2022-11-28 10:00:08.216559,2022-11-28 10:00:05.408720,Ponce
245,253068,0,7,1,2022-11-28 10:00:08.565433,2022-11-28 10:00:05.408720,San Juan
246,177369,195,1,1,2022-11-28 11:00:07.598413,2022-11-28 11:00:05.499734,Arecibo
247,216496,55,2,1,2022-11-28 11:00:08.481786,2022-11-28 11:00:05.499734,Bayamón
248,141663,123,3,1,2022-11-28 11:00:08.699250,2022-11-28 11:00:05.499734,Carolina
249,250514,20,4,1,2022-11-28 11:00:08.913375,2022-11-28 11:00:05.499734,Caguas
250,216605,2,5,1,2022-11-28 11:00:09.897758,2022-11-28 11:00:05.499734,Mayagüez
251,212508,1133,6,1,2022-11-28 11:00:12.424152,2022-11-28 11:00:05.499734,Ponce
252,253068,144,7,1,2022-11-28 11:00:12.665632,2022-11-28 11:00:05.499734,San Juan
253,177369,201,1,1,2022-11-28 12:00:03.848907,2022-11-28 12:00:02.631843,Arecibo
254,216496,57,2,1,2022-11-28 12:00:04.370553,2022-11-28 12:00:02.631843,Bayamón
255,141663,123,3,1,2022-11-28 12:00:04.632093,2022-11-28 12:00:02.631843,Carolina
256,250514,27,4,1,2022-11-28 12:00:08.228735,2022-11-28 12:00:02.631843,Caguas
257,216605,1,5,1,2022-11-28 12:00:09.557281,2022-11-28 12:00:02.631843,Mayagüez
258,212508,408,6,1,2022-11-28 12:00:11.220042,2022-11-28 12:00:02.631843,Ponce
259,253068,147,7,1,2022-11-28 12:00:11.852343,2022-11-28 12:00:02.631843,San Juan
260,177369,190,1,1,2022-11-28 13:00:04.428798,2022-11-28 13:00:03.031197,Arecibo
261,216496,332,2,1,2022-11-28 13:00:07.069307,2022-11-28 13:00:03.031197,Bayamón
262,141663,124,3,1,2022-11-28 13:00:07.946994,2022-11-28 13:00:03.031197,Carolina
263,250514,19,4,1,2022-11-28 13:00:11.825538,2022-11-28 13:00:03.031197,Caguas
264,216605,3,5,1,2022-11-28 13:00:12.073039,2022-11-28 13:00:03.031197,Mayagüez
265,212508,413,6,1,2022-11-28 13:00:13.456759,2022-11-28 13:00:03.031197,Ponce
266,253068,247,7,1,2022-11-28 13:00:18.312714,2022-11-28 13:00:03.031197,San Juan
267,177369,179,1,1,2022-11-28 14:00:07.593728,2022-11-28 14:00:04.868620,Arecibo
268,216496,285,2,1,2022-11-28 14:00:08.503915,2022-11-28 14:00:04.868620,Bayamón
269,141663,383,3,1,2022-11-28 14:00:21.014914,2022-11-28 14:00:04.868620,Carolina
270,250514,56,4,1,2022-11-28 14:00:21.590947,2022-11-28 14:00:04.868620,Caguas
271,216605,4,5,1,2022-11-28 14:00:21.947592,2022-11-28 14:00:04.868620,Mayagüez
272,212508,412,6,1,2022-11-28 14:00:22.782820,2022-11-28 14:00:04.868620,Ponce
273,253068,558,7,1,2022-11-28 14:00:23.645334,2022-11-28 14:00:04.868620,San Juan
274,177369,178,1,1,2022-11-28 15:00:04.065664,2022-11-28 15:00:02.948323,Arecibo
275,216496,293,2,1,2022-11-28 15:00:04.402667,2022-11-28 15:00:02.948323,Bayamón
276,141663,309,3,1,2022-11-28 15:00:04.899777,2022-11-28 15:00:02.948323,Carolina
277,250514,35,4,1,2022-11-28 15:00:06.459262,2022-11-28 15:00:02.948323,Caguas
278,216605,28,5,1,2022-11-28 15:00:06.709408,2022-11-28 15:00:02.948323,Mayagüez
279,212508,5,6,1,2022-11-28 15:00:06.968677,2022-11-28 15:00:02.948323,Ponce
280,253068,560,7,1,2022-11-28 15:00:07.248205,2022-11-28 15:00:02.948323,San Juan
281,177369,10,1,1,2022-11-28 16:00:07.447407,2022-11-28 16:00:03.588048,Arecibo
282,216496,5,2,1,2022-11-28 16:00:08.214619,2022-11-28 16:00:03.588048,Bayamón
283,141663,5322,3,1,2022-11-28 16:00:08.810497,2022-11-28 16:00:03.588048,Carolina
