Datetime,Region,Total de Clientes,Clientes sin Servicio
10/16/22 11:55,Bayamon,216496,444
10/16/22 11:55,Carolina,141663,59
10/16/22 11:55,Caguas,250514,402
10/16/22 11:55,Mayaguez,216605,2872
10/16/22 11:55,Ponce,212508,4172
10/16/22 11:55,San Juan,253068,361
10/17/22 13:15,Arecibo,177369,275
10/17/22 13:15,Bayamon,216496,296
10/17/22 13:15,Carolina,141663,28
10/17/22 13:15,Caguas,250514,219
10/17/22 13:15,Mayaguez,216605,5267
10/17/22 13:15,Ponce,212508,4879
10/17/22 13:15,San Juan,253068,489
10/18/22 16:16,Arecibo,177369,1573
10/18/22 16:16,Bayamon,216496,187
10/18/22 16:16,Carolina,141663,17
10/18/22 16:16,Caguas,250514,49
10/18/22 16:16,Mayaguez,216605,3176
10/18/22 16:16,Ponce,212508,1621
10/18/22 16:16,San Juan,253068,40
10/19/22 9:58,Arecibo,177369,286
10/19/22 9:58,Bayamon,216496,59
10/19/22 9:58,Carolina,141663,55
10/19/22 9:58,Caguas,250514,604
10/19/22 9:58,Mayaguez,216605,9238
10/19/22 9:58,Ponce,212508,377
10/19/22 9:58,San Juan,253068,5471
10/20/22 10:35,Arecibo,177369,490
10/20/22 10:35,Bayamon,216496,704
10/20/22 10:35,Carolina,141663,97
10/20/22 10:35,Caguas,250514,1339
10/20/22 10:35,Mayaguez,216605,1384
10/20/22 10:35,Ponce,212508,181
10/20/22 10:35,San Juan,253068,169
